timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769249124690,1068,Home Page Request,200,OK,Thread Group 1: Basic 1-1,text,true,,195760,196,3,8,https://www.wikipedia.org/,628,0,527
1769249125057,704,Home Page Request,200,OK,Thread Group 1: Basic 1-2,text,true,,195760,196,3,9,https://www.wikipedia.org/,260,0,160
1769249124690,1078,Home Page Request,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,195760,196,3,9,https://www.wikipedia.org/,630,0,527
1769249125164,685,Home Page Request,200,OK,Thread Group 2: Heavy Load 2-2,text,true,,195760,196,3,9,https://www.wikipedia.org/,255,0,148
1769249125762,389,Home Page Request,200,OK,Thread Group 1: Basic 1-1,text,true,,195760,196,4,11,https://www.wikipedia.org/,106,0,0
1769249124690,1513,Main Page,200,OK,Thread Group 3: Custom 3-1,text,true,,234248,573,4,11,https://en.wikipedia.org/wiki/Main_Page,596,0,527
1769249124690,603,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-1,text,true,,1834,210,4,11,https://www.wikipedia.org/wiki/Main_Page,596,0,527
1769249125302,901,Main Page-1,200,OK,Thread Group 3: Custom 3-1,text,true,,232414,363,4,11,https://en.wikipedia.org/wiki/Main_Page,346,0,193
1769249125763,484,Home Page Request,200,OK,Thread Group 1: Basic 1-2,text,true,,195760,196,4,11,https://www.wikipedia.org/,105,0,0
1769249125097,1162,Main Page,200,OK,Thread Group 3: Custom 3-2,text,true,,234248,573,4,11,https://en.wikipedia.org/wiki/Main_Page,203,0,127
1769249125097,203,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-2,text,true,,1834,210,4,11,https://www.wikipedia.org/wiki/Main_Page,203,0,127
1769249125303,956,Main Page-1,200,OK,Thread Group 3: Custom 3-2,text,true,,232414,363,4,11,https://en.wikipedia.org/wiki/Main_Page,377,0,221
1769249126152,308,Home Page Request,200,OK,Thread Group 1: Basic 1-1,text,true,,195760,196,4,12,https://www.wikipedia.org/,128,0,0
1769249125556,996,Home Page Request,200,OK,Thread Group 1: Basic 1-3,text,true,,195760,196,5,13,https://www.wikipedia.org/,414,0,246
1769249126249,487,Home Page Request,200,OK,Thread Group 1: Basic 1-2,text,true,,195760,196,5,14,https://www.wikipedia.org/,159,0,0
1769249126462,343,Home Page Request,200,OK,Thread Group 1: Basic 1-1,text,true,,195760,196,5,14,https://www.wikipedia.org/,112,0,0
1769249125762,1580,Home Page Request,200,OK,Thread Group 2: Heavy Load 2-3,text,true,,195760,196,5,17,https://www.wikipedia.org/,474,0,243
1769249126554,944,Home Page Request,200,OK,Thread Group 1: Basic 1-3,text,true,,195760,196,6,17,https://www.wikipedia.org/,280,0,0
1769249126807,749,Home Page Request,200,OK,Thread Group 1: Basic 1-1,text,true,,195760,196,7,18,https://www.wikipedia.org/,305,0,0
1769249126738,886,Home Page Request,200,OK,Thread Group 1: Basic 1-2,text,true,,195760,196,6,19,https://www.wikipedia.org/,190,0,0
1769249125851,1823,Search Page Request,200,OK,Thread Group 2: Heavy Load 2-2,text,true,,58502,791,6,19,https://en.wikipedia.org/wiki/Special:Search,318,0,0
1769249125851,318,Search Page Request-0,301,Moved Permanently,Thread Group 2: Heavy Load 2-2,text,true,,1443,423,6,19,https://www.wikipedia.org/wiki/Special:Search,318,0,0
1769249126170,1504,Search Page Request-1,200,OK,Thread Group 2: Heavy Load 2-2,text,true,,57059,368,6,19,https://en.wikipedia.org/wiki/Special:Search,791,0,220
1769249125770,1915,Search Page Request,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,58490,791,5,18,https://en.wikipedia.org/wiki/Special:Search,399,0,0
1769249125770,399,Search Page Request-0,301,Moved Permanently,Thread Group 2: Heavy Load 2-1,text,true,,1432,423,5,18,https://www.wikipedia.org/wiki/Special:Search,399,0,0
1769249126170,1515,Search Page Request-1,200,OK,Thread Group 2: Heavy Load 2-1,text,true,,57058,368,5,18,https://en.wikipedia.org/wiki/Special:Search,847,0,235
1769249126204,1519,Portal:Science,200,OK,Thread Group 3: Custom 3-1,text,true,,340676,845,7,17,https://en.wikipedia.org/wiki/Portal:Science,414,0,0
1769249126204,414,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-1,text,true,,1248,423,7,17,https://www.wikipedia.org/wiki/Portal:Science,414,0,0
1769249126618,1105,Portal:Science-1,200,OK,Thread Group 3: Custom 3-1,text,true,,339428,422,7,17,https://en.wikipedia.org/wiki/Portal:Science,210,0,0
1769249126260,1508,Portal:Science,200,OK,Thread Group 3: Custom 3-2,text,true,,340687,845,7,17,https://en.wikipedia.org/wiki/Portal:Science,358,0,0
1769249126260,358,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-2,text,true,,1259,423,7,17,https://www.wikipedia.org/wiki/Portal:Science,358,0,0
1769249126618,1150,Portal:Science-1,200,OK,Thread Group 3: Custom 3-2,text,true,,339428,422,7,17,https://en.wikipedia.org/wiki/Portal:Science,223,0,0
1769249125596,4009,Main Page,200,OK,Thread Group 3: Custom 3-3,text,true,,234248,573,11,27,https://en.wikipedia.org/wiki/Main_Page,374,0,245
1769249125596,375,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-3,text,true,,1834,210,11,27,https://www.wikipedia.org/wiki/Main_Page,374,0,245
